product_category_name_english,jumlah_pesanan,total_sales
bed_bath_table,10444,1073018.76
health_beauty,8934,1028638.73
sports_leisure,7932,913909.8200000001
furniture_decor,7272,785602.87
computers_accessories,7045,736194.83
housewares,6185,540638.1
watches_gifts,5443,459557.42
telephony,4360,454813.05
toys,3797,408439.61
auto,3683,400270.78
garden_tools,3535,372019.67
cool_stuff,3320,292803.68
perfumery,3268,289838.17
baby,2654,276109.87
electronics,2592,198968.0
stationery,2315,166327.83
fashion_bags_accessories,1946,143814.02
pet_shop,1738,132814.98
consoles_games,1056,126226.75
luggage_accessories,803,107474.29
office_furniture,790,102471.23
construction_tools_construction,786,100263.24
home_appliances,693,97777.85
small_appliances,562,80147.84
musical_instruments,545,56595.23
books_general_interest,537,53204.13
home_construction,517,49394.14
food,496,49286.05
home_confort,394,47757.74
drinks,365,46806.4
audio,351,44915.35
furniture_living_room,306,43022.23
market_place,297,41351.14
food_drink,271,30717.0
books_technical,262,29923.85
fixed_telephony,251,27975.42
air_conditioning,250,24540.95
fashion_shoes,249,23354.54
construction_tools_lights,239,22025.34
costruction_tools_garden,206,21920.01
art,196,21774.22
industry_commerce_and_business,191,21097.91
construction_tools_safety,177,18877.27
agro_industry_and_commerce,168,18739.64
signaling_and_security,158,16661.61
kitchen_dining_laundry_garden_furniture,155,14644.9
fashion_underwear_beach,130,14468.71
christmas_supplies,127,14156.66
fashion_male_clothing,126,13668.19
home_appliances_2,106,12576.95
costruction_tools_tools,96,9774.130000000001
tablets_printing_image,82,9389.55
cine_photo,66,7429.41
dvds_blu_ray,58,7086.25
books_imported,58,5795.6900000000005
computers,51,5769.89
furniture_bedroom,49,5107.4800000000005
fashio_female_clothing,48,4813.5
small_appliances_home_oven_and_coffee,44,3827.85
party_supplies,39,3694.78
diapers_and_hygiene,38,2803.64
music,36,1732.71
flowers,33,1576.01
home_comfort_2,30,1545.95
fashion_sport,28,1520.59
arts_and_craftmanship,23,1161.99
cds_dvds_musicals,13,1110.04
,12,978.5
la_cuisine,10,911.53
,9,760.27
fashion_childrens_clothes,8,665.0
furniture_mattress_and_upholstery,7,569.85
security_and_services,2,283.28999999999996
